!!,1082
4G,4217
99,12376
AI,2222
LG,3541
PC,5179
QQ,669
"\""",2226
\\,169
jj,139
qq,216
~~,1927
  ,2586
​​,2533
——,4072
‼️,100
❤️,129
一个,24070
一切,856
一句,911
一台,6567
一堆,322
一枚,111
一样,4045
一次,3903
一直,6136
一般,928
一起,7913
一辆,140
一遍,255
一颗,320
七夕,103
万达,572
三星,18006
上市,1938
上榜,319
上海,1837
上涨,164
上班,491
上课,143
下午,1270
下滑,1084
下载,1022
下降,288
不仅,777
不停,597
不懂,816
不断,930
不止,411
不错,5252
专业,1689
专利,992
专属,327
专注,334
专门,363
世界,6100
业务,4536
业绩,817
东芝,241
东西,2370
丢失,262
两个,2153
两年,1131
两次,352
两款,623
两种,216
严重,554
中兴,2671
中午,311
中国,14477
中央,171
中奖,1031
为何,618
为啥,589
主打,453
主播,508
主板,859
主流,529
主要,1499
主题,1299
举办,579
举报,158
举行,639
之前,2656
之后,2271
之际,101
乐檬,554
乐视,2995
习惯,446
事件,355
二哈,2141
亏损,615
云南,89
互动,290
互相,133
五年,680
交易,490
交流,308
交给,141
交通,221
产业,1350
产品,10938
享受,620
京东,9459
亮度,136
亮相,748
亲亲,432
人类,537
什么,14350
今天,6568
今年,2945
今日,1389
今晚,956
介绍,761
仍然,290
从未,184
从此,367
他们,2726
他妈,487
代理,585
代表,869
代言,4763
令人,499
以前,1928
以及,1938
以后,2279
价值,1387
价格,3479
任何,1155
任务,285
任性,347
仿佛,232
企业,8129
休息,207
休闲,177
众多,552
众筹,253
优势,580
优化,431
优秀,736
优质,355
优雅,149
会员,414
会议,230
传承,134
传播,197
传统,907
传闻,322
伤害,139
伤心,183
估计,991
似乎,537
但却,74
但是,3774
低价,660
低端,502
低调,252
体育,208
体验,3695
何必,71
作为,2239
作死,163
你们,6246
佩服,291
佳能,519
使用,4865
例如,171
依旧,593
依然,1070
依赖,104
便宜,1613
便捷,160
便携,619
保修,728
保养,89
保存,152
保持,520
保留,209
保证,623
保险,153
信仰,261
信任,404
信号,484
修复,469
修改,120
倒闭,554
借助,113
借鉴,90
值得,2300
假如,73
假期,118
假货,111
停止,182
健康,1201
健身,313
偶像,178
偶尔,190
偷笑,475
傻逼,693
儿童,372
允悲,4288
元素,166
兄弟,331
充值,113
充满,857
充电,2639
先把,90
先生,1101
光驱,206
兔子,365
入职,106
入驻,79
全套,350
全球,6449
全部,832
公司,10437
公园,101
公益,1000
共同,937
关于,796
关注,2688
关系,679
关键,790
关闭,324
兴奋,173
其中,2151
其他,2230
其它,310
其实,2474
具体,388
兼容,460
内存,2712
内容,741
内测,118
内置,575
再次,864
再见,425
写作,163
冠军,321
冲击,136
决定,847
准备,2587
减肥,194
几个,1680
几乎,652
几年,1365
凭借,233
出售,908
出席,170
出炉,234
出现,2539
刀锋,304
分享,5581
分析,619
切换,230
刘军,881
刚刚,1139
刚才,229
创业,925
创意,817
创新,3634
创造,708
初中,385
删除,210
判断,110
利润,698
利益,133
别人,1353
到底,1248
制作,396
制造,1735
刺激,137
前沿,124
剩下,306
办公,2995
功能,2974
加入,849
加油,2696
加班,185
加速,231
动态,188
助力,303
助理,119
努力,2445
勉强,93
包含,193
包括,1455
包装,415
匆匆,77
北京,3401
匹配,73
医生,163
医疗,297
医院,308
十五,157
十分,497
十年,1148
升级,2543
半年,947
华为,17323
协助,99
卓越,133
单位,393
单反,177
单独,132
南京,283
博士,207
占据,398
卧槽,663
印度,1897
印象,461
危机,242
危险,140
即使,332
即将,1069
厂商,2196
厂家,404
历史,845
压力,326
厚度,218
原因,920
原来,1168
原装,766
厦门,151
去年,1799
参与,1766
参加,1281
参数,277
参考,286
参观,108
双摄,1271
双核,251
反复,117
反应,471
反映,128
反而,240
反馈,327
发展,2512
发布,11964
发挥,232
发现,5016
发票,363
取代,221
取得,257
取消,355
变化,616
变成,1129
变身,162
变革,279
口碑,275
口袋,201
另外,1405
只要,1741
召开,487
可以,12091
可怕,262
可怜,466
可惜,818
可爱,3808
台湾,636
右边,491
号称,253
吃饭,376
各位,764
各种,1727
各类,114
合作,1908
合肥,365
合适,329
同事,429
同城,189
同学,979
同意,311
同时,1576
同样,738
同款,369
同步,457
名字,870
名称,184
后盖,293
否则,203
听歌,199
听筒,102
听说,767
启动,535
呈现,185
告别,154
员工,1355
周末,431
周边,246
呵呵,1150
咖啡,240
咨询,452
咱们,239
品牌,10074
品质,1242
哇塞,126
响应,87
哎呀,148
哥哥,1655
哦～,85
哪个,992
哪款,149
售后,2479
唱歌,107
商业,1056
商务,1824
商品,1058
啦~,395
啦～,101
喜欢,9787
喷子,56
嘉宾,171
嘻嘻,1732
嘿嘿,294
噪音,93
四核,422
回家,1141
回归,1219
回忆,753
回收,355
回答,241
回顾,548
因为,4246
因此,204
团圆,149
团队,1015
困难,251
围观,651
国产,2457
国内,2385
国际,1423
图标,123
图片,1148
图赏,228
土豪,352
地区,493
地址,1001
地铁,292
坏了,1348
坏笑,493
坐等,259
坚持,1202
垃圾,2571
垄断,119
型号,1556
培养,145
培训,271
堪称,99
塑料,180
增加,422
增长,981
壁纸,403
声音,961
处于,202
备份,154
复古,171
复杂,192
夏季,146
夏普,1429
外壳,407
外媒,809
外形,479
外观,1886
多少,1679
大众,531
大厦,197
大咖,223
大学,2329
大家,5853
大概,739
大陆,393
天津,817
天猫,1002
太多,854
太阳,545
央视,386
失去,347
失望,654
失败,411
奇迹,196
奋斗,163
奖励,127
奖品,693
套装,616
套路,294
女士,235
女孩,344
女性,203
女生,711
女神,503
奶奶,139
好像,1451
好帅,364
好运,1367
如今,779
如何,1818
如果,4930
如此,1231
妈妈,674
妹妹,192
始终,390
姑娘,324
委屈,195
威武,437
威胁,82
娃娃,78
娱乐,600
媒体,1291
存储,906
孤独,124
学习,1184
学校,528
学生,1700
学院,497
学霸,145
孩子,1077
它们,368
宇宙,324
安全,1342
安利,414
安卓,3113
安徽,166
安排,118
安装,766
完全,1070
完成,679
完整,316
完美,1241
官网,1404
定位,694
定制,1423
宝宝,963
宝马,158
实习,417
实力,1094
实惠,250
实施,99
实现,1406
实践,147
实际,493
客户,2192
客服,1160
宣传,1319
宣布,1481
室内,75
室友,132
害怕,150
家族,407
宿舍,271
寂寞,87
密码,352
对于,1601
对比,707
寻找,268
寻求,112
导师,97
导演,116
导致,438
导航,122
将会,863
小巧,285
小米,13241
小编,1250
少女,712
少年,913
尝试,326
就是,12615
就算,467
尴尬,403
尺寸,532
尼玛,216
尽快,149
尽管,316
居然,1427
屌丝,116
屏幕,4635
展示,982
属于,831
岁月,250
峰会,651
崛起,407
崩溃,168
工作,4074
工厂,509
工艺,456
工资,556
左右,1169
左边,93
差距,326
已经,7485
巴西,264
巴黎,213
市场,7925
布局,472
帅气,429
希望,4982
帝国,168
带来,1824
带着,665
帮助,623
帮忙,427
干净,129
干嘛,280
平台,2989
平板,7581
平衡,101
年初,300
年前,2025
并且,723
并购,204
幸福,1145
广告,3301
广场,259
广州,527
床上,150
库存,244
应用,1172
应该,3325
店员,104
店铺,286
延续,334
建立,212
建筑,184
建议,616
建设,499
开启,1055
